Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SEASON,HOME_AWAY,OPPONENT,DAY_OF_WEEK,MONTH
1610612751,0022401188,2025-04-13,BKN vs. NYK,L,26,56,0.317,240,38,74,0.514,12,35,0.343,17,25,0.68,6,36,42,21,4,2,18,24,105,2024-25,Home,NYK,Sunday,April
1610612751,0022401179,2025-04-11,BKN @ MIN,L,26,55,0.321,240,33,90,0.367,12,41,0.293,13,17,0.765,15,26,41,24,7,1,9,24,91,2024-25,Away,MIN,Friday,April
1610612751,0022401169,2025-04-10,BKN vs. ATL,L,26,54,0.325,240,36,90,0.4,22,52,0.423,15,22,0.682,10,31,41,31,8,2,17,26,109,2024-25,Home,ATL,Thursday,April
1610612751,0022401150,2025-04-08,BKN vs. NOP,W,26,53,0.329,240,41,83,0.494,17,40,0.425,20,24,0.833,7,33,40,30,11,4,16,22,119,2024-25,Home,NOP,Tuesday,April
1610612751,0022401134,2025-04-06,BKN vs. TOR,L,25,53,0.321,240,39,82,0.476,10,35,0.286,21,27,0.778,8,38,46,25,8,7,23,18,109,2024-25,Home,TOR,Sunday,April
1610612751,0022401113,2025-04-03,BKN vs. MIN,L,25,52,0.325,240,38,89,0.427,11,36,0.306,3,4,0.75,8,26,34,30,11,0,10,17,90,2024-25,Home,MIN,Thursday,April
1610612751,0022401095,2025-03-31,BKN @ DAL,W,25,51,0.329,240,39,90,0.433,20,51,0.392,15,20,0.75,7,33,40,32,6,3,8,23,113,2024-25,Away,DAL,Monday,March
1610612751,0022401075,2025-03-29,BKN @ WAS,W,24,51,0.32,240,39,88,0.443,18,46,0.391,19,20,0.95,12,37,49,25,2,4,12,23,115,2024-25,Away,WAS,Saturday,March
1610612751,0022401068,2025-03-28,BKN vs. LAC,L,23,51,0.311,240,33,89,0.371,14,47,0.298,20,26,0.769,10,33,43,27,10,3,14,21,100,2024-25,Home,LAC,Friday,March
1610612751,0022401054,2025-03-26,BKN vs. TOR,L,23,50,0.315,240,31,87,0.356,8,41,0.195,16,19,0.842,10,33,43,16,6,9,19,21,86,2024-25,Home,TOR,Wednesday,March
1610612751,0022401040,2025-03-24,BKN vs. DAL,L,23,49,0.319,240,40,78,0.513,11,33,0.333,10,14,0.714,9,28,37,30,7,2,18,15,101,2024-25,Home,DAL,Monday,March
1610612751,0022401024,2025-03-22,BKN @ IND,L,23,48,0.324,240,39,90,0.433,15,43,0.349,10,17,0.588,11,37,48,20,6,1,14,20,103,2024-25,Away,IND,Saturday,March
1610612751,0022401011,2025-03-20,BKN @ IND,L,23,47,0.329,265,36,101,0.356,14,50,0.28,13,18,0.722,14,33,47,20,11,4,16,24,99,2024-25,Away,IND,Thursday,March
1610612751,0022400994,2025-03-18,BKN @ BOS,L,23,46,0.333,240,36,88,0.409,13,45,0.289,11,17,0.647,8,31,39,21,9,2,8,19,96,2024-25,Away,BOS,Tuesday,March
1610612751,0022400978,2025-03-16,BKN vs. ATL,W,23,45,0.338,240,43,90,0.478,17,35,0.486,19,23,0.826,12,28,40,33,7,5,15,18,122,2024-25,Home,ATL,Sunday,March
1610612751,0022400968,2025-03-15,BKN vs. BOS,L,22,45,0.328,240,42,90,0.467,20,46,0.435,9,13,0.692,18,27,45,34,4,3,9,21,113,2024-25,Home,BOS,Saturday,March
1610612751,0022400956,2025-03-13,BKN @ CHI,L,22,44,0.333,240,43,96,0.448,11,34,0.324,13,18,0.722,15,35,50,32,6,7,9,26,110,2024-25,Away,CHI,Thursday,March
1610612751,0022400940,2025-03-11,BKN @ CLE,L,22,43,0.338,240,39,84,0.464,16,44,0.364,10,14,0.714,8,30,38,31,9,3,12,21,104,2024-25,Away,CLE,Tuesday,March
1610612751,0022400930,2025-03-10,BKN vs. LAL,W,22,42,0.344,240,37,90,0.411,18,45,0.4,19,30,0.633,16,31,47,22,10,6,7,16,111,2024-25,Home,LAL,Monday,March
1610612751,0022400912,2025-03-08,BKN @ CHA,L,21,42,0.333,240,38,82,0.463,14,50,0.28,12,15,0.8,8,29,37,20,6,10,11,19,102,2024-25,Away,CHA,Saturday,March
1610612751,0022400901,2025-03-06,BKN vs. GSW,L,21,41,0.339,240,44,87,0.506,15,33,0.455,16,18,0.889,8,24,32,30,7,5,11,24,119,2024-25,Home,GSW,Thursday,March
1610612751,0022400888,2025-03-04,BKN @ SAS,L,21,40,0.344,240,39,86,0.453,17,50,0.34,18,21,0.857,11,29,40,29,8,2,13,16,113,2024-25,Away,SAS,Tuesday,March
1610612751,0022400861,2025-03-01,BKN @ DET,L,21,39,0.35,240,29,95,0.305,6,39,0.154,30,35,0.857,14,24,38,19,12,8,12,24,94,2024-25,Away,DET,Saturday,March
