Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SEASON,HOME_AWAY,OPPONENT,DAY_OF_WEEK,MONTH
1610612751,0022201217,2023-04-09,BKN vs. PHI,L,45,37,0.549,240,35,83,0.422,12,32,0.375,23,28,0.821,10,32,42,22,6,6,18,22,105,2022-23,Home,PHI,Sunday,April
1610612751,0022201207,2023-04-07,BKN vs. ORL,W,45,36,0.556,240,35,89,0.393,9,42,0.214,22,25,0.88,10,35,45,27,14,3,9,12,101,2022-23,Home,ORL,Friday,April
1610612751,0022201189,2023-04-05,BKN @ DET,W,44,36,0.55,240,45,86,0.523,17,43,0.395,16,23,0.696,11,27,38,36,6,7,11,12,123,2022-23,Away,DET,Wednesday,April
1610612751,0022201180,2023-04-04,BKN vs. MIN,L,43,36,0.544,240,39,90,0.433,13,35,0.371,11,14,0.786,7,33,40,21,6,8,9,18,102,2022-23,Home,MIN,Tuesday,April
1610612751,0022201164,2023-04-02,BKN vs. UTA,W,43,35,0.551,240,38,86,0.442,9,32,0.281,26,34,0.765,7,33,40,25,6,2,8,26,111,2022-23,Home,UTA,Sunday,April
1610612751,0022201153,2023-03-31,BKN vs. ATL,W,42,35,0.545,240,49,88,0.557,15,33,0.455,11,13,0.846,9,32,41,33,9,3,12,17,124,2022-23,Home,ATL,Friday,March
1610612751,0022201137,2023-03-29,BKN vs. HOU,W,41,35,0.539,240,44,82,0.537,17,35,0.486,18,27,0.667,8,33,41,33,4,9,12,18,123,2022-23,Home,HOU,Wednesday,March
1610612751,0022201118,2023-03-26,BKN @ ORL,L,40,35,0.533,240,37,91,0.407,8,35,0.229,24,28,0.857,15,29,44,17,7,8,15,20,106,2022-23,Away,ORL,Sunday,March
1610612751,0022201108,2023-03-25,BKN @ MIA,W,40,34,0.541,240,44,89,0.494,18,40,0.45,23,25,0.92,17,28,45,30,6,6,6,18,129,2022-23,Away,MIA,Saturday,March
1610612751,0022201094,2023-03-23,BKN vs. CLE,L,39,34,0.534,240,39,81,0.481,12,34,0.353,24,27,0.889,9,33,42,24,7,7,15,21,114,2022-23,Home,CLE,Thursday,March
1610612751,0022201079,2023-03-21,BKN vs. CLE,L,39,33,0.542,240,41,92,0.446,9,33,0.273,18,23,0.783,19,30,49,25,6,5,16,19,109,2022-23,Home,CLE,Tuesday,March
1610612751,0022201063,2023-03-19,BKN vs. DEN,L,39,32,0.549,240,38,82,0.463,12,35,0.343,14,16,0.875,9,24,33,26,10,3,11,16,102,2022-23,Home,DEN,Sunday,March
1610612751,0022201043,2023-03-16,BKN vs. SAC,L,39,31,0.557,240,33,80,0.413,14,39,0.359,16,23,0.696,3,38,41,20,8,4,6,22,96,2022-23,Home,SAC,Thursday,March
1610612751,0022201031,2023-03-14,BKN @ OKC,L,39,30,0.565,240,35,82,0.427,12,41,0.293,25,34,0.735,11,35,46,25,3,5,17,20,107,2022-23,Away,OKC,Tuesday,March
1610612751,0022201014,2023-03-12,BKN @ DEN,W,39,29,0.574,240,42,84,0.5,17,44,0.386,21,24,0.875,4,24,28,32,11,2,8,21,122,2022-23,Away,DEN,Sunday,March
1610612751,0022201001,2023-03-10,BKN @ MIN,W,38,29,0.567,265,42,91,0.462,16,34,0.471,24,33,0.727,12,36,48,20,7,5,14,26,124,2022-23,Away,MIN,Friday,March
1610612751,0022200995,2023-03-09,BKN @ MIL,L,37,29,0.561,240,41,104,0.394,14,36,0.389,17,17,1.0,15,32,47,20,10,4,13,12,113,2022-23,Away,MIL,Thursday,March
1610612751,0022200981,2023-03-07,BKN @ HOU,W,37,28,0.569,240,40,81,0.494,15,40,0.375,23,29,0.793,5,31,36,23,12,7,12,21,118,2022-23,Away,HOU,Tuesday,March
1610612751,0022200965,2023-03-05,BKN vs. CHA,W,36,28,0.563,240,36,92,0.391,12,43,0.279,18,22,0.818,8,44,52,21,5,9,5,12,102,2022-23,Home,CHA,Sunday,March
1610612751,0022200948,2023-03-03,BKN @ BOS,W,35,28,0.556,240,40,95,0.421,14,44,0.318,21,26,0.808,13,34,47,25,9,6,12,20,115,2022-23,Away,BOS,Friday,March
1610612751,0022200937,2023-03-01,BKN @ NYK,L,34,28,0.548,240,42,90,0.467,15,39,0.385,19,20,0.95,5,26,31,26,6,5,12,21,118,2022-23,Away,NYK,Wednesday,March
1610612751,0022200924,2023-02-28,BKN vs. MIL,L,34,27,0.557,240,36,83,0.434,12,36,0.333,20,25,0.8,3,35,38,25,12,6,17,19,104,2022-23,Home,MIL,Tuesday,February
1610612751,0022200911,2023-02-26,BKN @ ATL,L,34,26,0.567,240,43,87,0.494,14,39,0.359,27,29,0.931,6,31,37,20,12,6,9,21,127,2022-23,Away,ATL,Sunday,February
1610612751,0022200900,2023-02-24,BKN @ CHI,L,34,25,0.576,240,30,81,0.37,12,44,0.273,15,19,0.789,5,26,31,21,6,3,13,25,87,2022-23,Away,CHI,Friday,February
1610612751,0022200878,2023-02-15,BKN vs. MIA,W,34,24,0.586,240,41,77,0.532,17,39,0.436,17,20,0.85,5,31,36,26,3,5,11,27,116,2022-23,Home,MIA,Wednesday,February
1610612751,0022200862,2023-02-13,BKN @ NYK,L,33,24,0.579,240,35,78,0.449,12,29,0.414,24,33,0.727,10,29,39,18,3,3,10,19,106,2022-23,Away,NYK,Monday,February
1610612751,0022200846,2023-02-11,BKN vs. PHI,L,33,23,0.589,240,37,92,0.402,13,40,0.325,11,13,0.846,12,30,42,23,7,6,8,20,98,2022-23,Home,PHI,Saturday,February
1610612751,0022200833,2023-02-09,BKN vs. CHI,W,33,22,0.6,240,39,91,0.429,17,44,0.386,21,25,0.84,11,38,49,26,8,1,11,20,116,2022-23,Home,CHI,Thursday,February
1610612751,0022200817,2023-02-07,BKN vs. PHX,L,32,22,0.593,240,38,79,0.481,9,28,0.321,27,31,0.871,5,31,36,25,11,2,16,21,112,2022-23,Home,PHX,Tuesday,February
1610612751,0022200810,2023-02-06,BKN vs. LAC,L,32,21,0.604,240,41,84,0.488,16,31,0.516,18,22,0.818,8,34,42,21,4,5,16,26,116,2022-23,Home,LAC,Monday,February
1610612751,0022200793,2023-02-04,BKN vs. WAS,W,32,20,0.615,240,43,86,0.5,14,33,0.424,25,28,0.893,10,29,39,21,4,10,15,28,125,2022-23,Home,WAS,Saturday,February
1610612751,0022200772,2023-02-01,BKN @ BOS,L,31,20,0.608,240,36,88,0.409,9,39,0.231,15,18,0.833,5,27,32,19,8,1,5,12,96,2022-23,Away,BOS,Wednesday,February
1610612751,0022200757,2023-01-30,BKN vs. LAL,W,31,19,0.62,240,45,95,0.474,16,41,0.39,15,19,0.789,12,38,50,24,8,9,9,25,121,2022-23,Home,LAL,Monday,January
1610612751,0022200742,2023-01-28,BKN vs. NYK,W,30,19,0.612,240,46,87,0.529,22,40,0.55,8,14,0.571,9,26,35,31,5,3,8,17,122,2022-23,Home,NYK,Saturday,January
1610612751,0022200731,2023-01-26,BKN vs. DET,L,29,19,0.604,240,43,94,0.457,13,38,0.342,23,27,0.852,15,25,40,24,5,6,16,23,122,2022-23,Home,DET,Thursday,January
1610612751,0022200721,2023-01-25,BKN @ PHI,L,29,18,0.617,240,49,76,0.645,14,26,0.538,21,27,0.778,6,25,31,29,3,4,16,26,133,2022-23,Away,PHI,Wednesday,January
1610612751,0022200704,2023-01-22,BKN @ GSW,W,29,17,0.63,240,43,79,0.544,14,27,0.519,20,31,0.645,9,33,42,30,4,7,15,22,120,2022-23,Away,GSW,Sunday,January
1610612751,0022200689,2023-01-20,BKN @ UTA,W,28,17,0.622,240,43,80,0.538,18,41,0.439,13,20,0.65,6,36,42,26,7,6,9,18,117,2022-23,Away,UTA,Friday,January
1610612751,0022200681,2023-01-19,BKN @ PHX,L,27,17,0.614,240,43,82,0.524,11,26,0.423,15,25,0.6,2,32,34,27,10,6,12,34,112,2022-23,Away,PHX,Thursday,January
1610612751,0022200666,2023-01-17,BKN @ SAS,L,27,16,0.628,240,37,88,0.42,3,23,0.13,21,24,0.875,10,39,49,22,10,8,21,26,98,2022-23,Away,SAS,Tuesday,January
1610612751,0022200651,2023-01-15,BKN vs. OKC,L,27,15,0.643,240,39,91,0.429,12,41,0.293,12,19,0.632,14,37,51,24,4,7,15,21,102,2022-23,Home,OKC,Sunday,January
1610612751,0022200627,2023-01-12,BKN vs. BOS,L,27,14,0.659,240,38,84,0.452,13,34,0.382,9,11,0.818,4,27,31,26,8,9,12,19,98,2022-23,Home,BOS,Thursday,January
1610612751,0022200599,2023-01-08,BKN @ MIA,W,27,13,0.675,240,39,76,0.513,12,33,0.364,12,15,0.8,6,34,40,22,8,8,16,21,102,2022-23,Away,MIA,Sunday,January
1610612751,0022200586,2023-01-06,BKN @ NOP,W,26,13,0.667,240,37,85,0.435,15,33,0.455,19,20,0.95,10,33,43,26,8,12,12,23,108,2022-23,Away,NOP,Friday,January
1610612751,0022200570,2023-01-04,BKN @ CHI,L,25,13,0.658,240,42,91,0.462,12,37,0.324,16,21,0.762,5,29,34,24,9,7,10,22,112,2022-23,Away,CHI,Wednesday,January
1610612751,0022200555,2023-01-02,BKN vs. SAS,W,25,12,0.676,240,58,93,0.624,11,20,0.55,12,15,0.8,7,38,45,31,13,7,12,16,139,2022-23,Home,SAS,Monday,January
1610612751,0022200539,2022-12-31,BKN @ CHA,W,24,12,0.667,240,48,80,0.6,13,34,0.382,14,19,0.737,2,40,42,26,7,6,14,16,123,2022-23,Away,CHA,Saturday,December
1610612751,0022200517,2022-12-28,BKN @ ATL,W,23,12,0.657,240,42,83,0.506,10,26,0.385,14,17,0.824,5,42,47,22,0,13,12,18,108,2022-23,Away,ATL,Wednesday,December
